127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.027173
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.037288
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000983
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.030214
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000987
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003003
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.005003
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004002
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003002
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.101028
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.033804
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.021069
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.026073
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.022069
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.023068
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.014010
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.063277
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.065286
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.057279
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-05-10 19:37:39, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000988
127.0.0.1, 2018-05-10 19:37:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2018-05-10 19:37:40, GET, /admin/default/edit/tarefa/models/db.py, HTTP/1.1, 200, 0.092062
127.0.0.1, 2018-05-10 19:37:40, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.148109
127.0.0.1, 2018-05-10 19:37:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.244171
127.0.0.1, 2018-05-10 19:37:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.316223
127.0.0.1, 2018-05-10 19:37:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.747466
127.0.0.1, 2018-05-10 19:37:40, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-05-10 19:37:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.224640
